WBS_PackageID,WBS_DeliverableID,CostType,Currency,Amount_Total,LineCount,Notes
PKG-01,DEL-01-01,PRODUCTION,CAD,840,1,Proposal coordinator 8h
PKG-01,DEL-01-02,PRODUCTION,CAD,2170,2,Coordinator 14h + PM 4h
PKG-01,DEL-01-03,PRODUCTION,CAD,5560,3,PM 4h + Legal 4h + Admin 2h + Broker $3500
PKG-01,DEL-01-03,BOND_INSURANCE,CAD,537534,6,Performance bond + L&M bond + CCIP + builder's risk + CGL (NOT additive to construction)
PKG-02,DEL-05-01,PRODUCTION,CAD,9960,3,Estimators + PM 72h
PKG-02,DEL-05-01,CONSTRUCTION,CAD,10729000,21,Schedule A construction pricing content
PKG-02,DEL-05-02,PRODUCTION,CAD,6020,3,Estimators + PM 44h
PKG-02,DEL-05-02,CONSTRUCTION,CAD,10729000,95,Schedule B construction pricing content (SAME as DEL-05-01 -- count ONCE)
PKG-02,DEL-05-03,PRODUCTION,CAD,3260,2,PM 12h + Estimator 8h
PKG-03,DEL-07-01,PRODUCTION,CAD,2380,2,Writer 16h + PM 4h
PKG-03,DEL-07-02,PRODUCTION,CAD,1860,2,HR 12h + Writer 8h
PKG-03,DEL-07-03,PRODUCTION,CAD,1720,2,PM 8h + Admin 4h
PKG-04,DEL-02-01,PRODUCTION,CAD,29610,12,Multi-discipline concept 228h
PKG-04,DEL-02-02,PRODUCTION,CAD,12170,8,Multi-discipline narrative 80h
PKG-04,DEL-02-03,PRODUCTION,CAD,4770,4,Energy/sustainability 30h
PKG-05,DEL-03-01,PRODUCTION,CAD,2350,2,Design Mgr 10h + PM 4h
PKG-05,DEL-03-02,PRODUCTION,CAD,2350,2,Design Mgr 10h + PM 4h
PKG-06,DEL-04-01,PRODUCTION,CAD,2870,2,CM 14h + PM 4h
PKG-06,DEL-04-02,PRODUCTION,CAD,2020,2,PM 8h + CM 4h
PKG-06,DEL-04-03,PRODUCTION,CAD,1670,2,PM 6h + CM 4h
PKG-07,DEL-06-01,PRODUCTION,CAD,3290,2,Comm Lead 16h + PM 6h
PKG-08,DEL-08-01,PRODUCTION,CAD,4620,3,Scheduler 20h + PM 8h + CM 4h
PKG-09,DEL-09-01,PRODUCTION,CAD,3410,3,PM 10h + Quality 8h + CM 4h
PKG-09,DEL-09-02,PRODUCTION,CAD,2950,3,PM 8h + Civil 6h + Geotech 4h
